ordernumber;mainnumber;name;weight
ek1111;ek1111;Bio Angelikawurzel Angelika Engelwurz;100
ek1111.1;ek1111;Bio Angelikawurzel Angelika Engelwurz;200
ek1111.2;ek1111;Bio Angelikawurzel Angelika Engelwurz;400
ek1111.3;ek1111;Bio Angelikawurzel Angelika Engelwurz;1000
ek1112;ek1112;Bio Anis;100
ek1112.1;ek1112;Bio Anis;200
ek1112.2;ek1112;Bio Anis;400
ek1112.3;ek1112;Bio Anis;1000
ek1113;ek1113;Bio Arnikablüten Arnika;20
ek1113.1;ek1113;Bio Arnikablüten Arnika;40
ek1113.2;ek1113;Bio Arnikablüten Arnika;80
ek1113.3;ek1113;Bio Arnikablüten Arnika;200
ek1113.4;ek1113;Bio Arnikablüten Arnika;400
ek1114;ek1114;Bio Augentrostkraut Augentrost Euphrasia;50
ek1114.1;ek1114;Bio Augentrostkraut Augentrost Euphrasia;100
ek1114.2;ek1114;Bio Augentrostkraut Augentrost Euphrasia;200
ek1114.3;ek1114;Bio Augentrostkraut Augentrost Euphrasia;500
ek1114.4;ek1114;Bio Augentrostkraut Augentrost Euphrasia;1000
ek1115;ek1115;Bio Baldrianwurzel Baldrian;100
ek1115.1;ek1115;Bio Baldrianwurzel Baldrian;200
ek1115.2;ek1115;Bio Baldrianwurzel Baldrian;400
ek1115.3;ek1115;Bio Baldrianwurzel Baldrian;1000
ek1118;ek1118;Bio Birkenblätter Birke;50
ek1118.1;ek1118;Bio Birkenblätter Birke;100
ek1118.2;ek1118;Bio Birkenblätter Birke;200
ek1118.3;ek1118;Bio Birkenblätter Birke;500
ek1118.4;ek1118;Bio Birkenblätter Birke;1000
ek1119;ek1119;Bio Fenchel Bitterfenchel Bitterer Fenchel;100
ek1119.1;ek1119;Bio Fenchel Bitterfenchel Bitterer Fenchel;200
ek1119.2;ek1119;Bio Fenchel Bitterfenchel Bitterer Fenchel;400
ek1119.3;ek1119;Bio Fenchel Bitterfenchel Bitterer Fenchel;1000
ek1120;ek1120;Bio Bitterklee Fieberklee;50
ek1120.1;ek1120;Bio Bitterklee Fieberklee;100
ek1120.2;ek1120;Bio Bitterklee Fieberklee;200
ek1120.3;ek1120;Bio Bitterklee Fieberklee;500
ek1120.4;ek1120;Bio Bitterklee Fieberklee;1000
ek1121;ek1121;Bio Brennnesselblätter Brennnessel;40
ek1121.1;ek1121;Bio Brennnesselblätter Brennnessel;80
ek1121.2;ek1121;Bio Brennnesselblätter Brennnessel;160
ek1121.3;ek1121;Bio Brennnesselblätter Brennnessel;320
ek1121.4;ek1121;Bio Brennnesselblätter Brennnessel;500
ek1121.5;ek1121;Bio Brennnesselblätter Brennnessel;1000
ek1122;ek1122;Bio Brombeerblätter Brombeer;40
ek1122.1;ek1122;Bio Brombeerblätter Brombeer;80
ek1122.2;ek1122;Bio Brombeerblätter Brombeer;160
ek1122.4;ek1122;Bio Brombeerblätter Brombeer;500
ek1122.5;ek1122;Bio Brombeerblätter Brombeer;1000
ek1124;ek1124;Bio Buchweizenkraut Buchweizen;60
ek1124.1;ek1124;Bio Buchweizenkraut Buchweizen;120
ek1124.2;ek1124;Bio Buchweizenkraut Buchweizen;240
ek1124.3;ek1124;Bio Buchweizenkraut Buchweizen;500
ek1124.4;ek1124;Bio Buchweizenkraut Buchweizen;1000
ek1125;ek1125;Bio Dostkraut Dost Oregano;50
ek1125.1;ek1125;Bio Dostkraut Dost Oregano;100
ek1125.2;ek1125;Bio Dostkraut Dost Oregano;200
ek1125.3;ek1125;Bio Dostkraut Dost Oregano;500
ek1125.4;ek1125;Bio Dostkraut Dost Oregano;1000
ek1126;ek1126;Bio Enzianwurzel Enzian Bitterwurzel;80
ek1126.1;ek1126;Bio Enzianwurzel Enzian Bitterwurzel;160
ek1126.2;ek1126;Bio Enzianwurzel Enzian Bitterwurzel;320
ek1126.3;ek1126;Bio Enzianwurzel Enzian Bitterwurzel;500
ek1126.4;ek1126;Bio Enzianwurzel Enzian Bitterwurzel;1000
ek1127;ek1127;Bio Erdrauchkraut Erdrauch;100
ek1127.1;ek1127;Bio Erdrauchkraut Erdrauch;200
ek1127.2;ek1127;Bio Erdrauchkraut Erdrauch;400
ek1127.3;ek1127;Bio Erdrauchkraut Erdrauch;1000
ek1128;ek1128;Bio Erikakraut Erika Heidekraut;50
ek1128.1;ek1128;Bio Erikakraut Erika Heidekraut;100
ek1128.2;ek1128;Bio Erikakraut Erika Heidekraut;200
ek1128.3;ek1128;Bio Erikakraut Erika Heidekraut;500
ek1128.4;ek1128;Bio Erikakraut Erika Heidekraut;1000
ek1129;ek1129;Bio Frauenmantelkraut Frauenmantel;50
ek1129.1;ek1129;Bio Frauenmantelkraut Frauenmantel;100
ek1129.2;ek1129;Bio Frauenmantelkraut Frauenmantel;200
ek1129.3;ek1129;Bio Frauenmantelkraut Frauenmantel;500
ek1129.4;ek1129;Bio Frauenmantelkraut Frauenmantel;1000
ek1130;ek1130;Bio Gänsefingerkraut Gänsefinger;50
ek1130.1;ek1130;Bio Gänsefingerkraut Gänsefinger;100
ek1130.2;ek1130;Bio Gänsefingerkraut Gänsefinger;200
ek1130.3;ek1130;Bio Gänsefingerkraut Gänsefinger;500
ek1130.4;ek1130;Bio Gänsefingerkraut Gänsefinger;1000
ek1132;ek1132;Bio Grüner Hafer Grünhafer;50
ek1132.1;ek1132;Bio Grüner Hafer Grünhafer;100
ek1132.2;ek1132;Bio Grüner Hafer Grünhafer;200
ek1132.3;ek1132;Bio Grüner Hafer Grünhafer;500
ek1132.4;ek1132;Bio Grüner Hafer Grünhafer;1000
ek1133;ek1133;Bio Hagebutten Heckenrose;100
ek1133.1;ek1133;Bio Hagebutten Heckenrose;200
ek1133.2;ek1133;Bio Hagebutten Heckenrose;400
ek1133.3;ek1133;Bio Hagebutten Heckenrose;1000
ek1134;ek1134;Bio Hauhechelwurzel Hauhechel;100
ek1134.1;ek1134;Bio Hauhechelwurzel Hauhechel;200
ek1134.2;ek1134;Bio Hauhechelwurzel Hauhechel;400
ek1134.3;ek1134;Bio Hauhechelwurzel Hauhechel;1000
ek1135;ek1135;Bio Herzgespannkraut Herzgespann;60
ek1135.1;ek1135;Bio Herzgespannkraut Herzgespann;120
ek1135.2;ek1135;Bio Herzgespannkraut Herzgespann;240
ek1135.3;ek1135;Bio Herzgespannkraut Herzgespann;500
ek1135.4;ek1135;Bio Herzgespannkraut Herzgespann;1000
ek1136;ek1136;Bio Hirtentäschelkraut;70
ek1136.1;ek1136;Bio Hirtentäschelkraut;140
ek1136.2;ek1136;Bio Hirtentäschelkraut;280
ek1136.4;ek1136;Bio Hirtentäschelkraut;500
ek1136.5;ek1136;Bio Hirtentäschelkraut;1000
ek1137;ek1137;Bio Holunderblüten Holunder;80
ek1137.1;ek1137;Bio Holunderblüten Holunder;160
ek1137.2;ek1137;Bio Holunderblüten Holunder;320
ek1137.3;ek1137;Bio Holunderblüten Holunder;500
