Name;11Konzentration;12InnereBalance;13GuteNacht;14SchlafteeMagenempfindliche;15GuteNachtstark;21Herzallgemein;22Kreislauf;23StarkeDurchblutungsstörung;24HoherBlutdruck;25NiedrigerBlutdruck;26Anämie;27Hämorrhoiden;28Detox1;31Durchatmen;32Bronchialasthma;33Bronchitis,Schleim;34TrockenerHusten;35Kopfdampfbad;36Gurgeltee;41Basentee;42Vitalität;43Kopfgut;44Schilddrüseniedr.Blutdruck;45Schilddrüsehoh.Blutdruck;46Schilddrüsenunterfunktion;47GrippeFieber;51WasserMarsch;52Nierenentz.;53Blasenschwäche;54Blasenentz.Reizblase;55Sitzbad;61Gastritis;610Diabatesniedr.Blutdruck;611Diabetes;612DiabetesTyp1;613Leibumschlag;62MagenBauchspeichelDarm;63Lebergut;64Galle;65TrägeVerdauung;66KrampfartigeVerstopfung;67Detox2;68Meteorismus;69Durchfall;71Rheuma;72Arthrose;73Gicht;74Rückenstark;76Arnika+EnzianEinreibung;81Hautschön;82Hautausschlag;84Schuppenflechte;85Haarausfall;86Hautwaschung;91Wechseljahre;92PMS;93Schwangerschaft;94Stillen;95Augenstark;96Augenbad;Galke
Angelikawurzel;12,6;0;0;0;0;0;0;12,6;0;14,4;13;0;0;14,6;0;12,6;0;0;0;13,7;7,1;0;11,9;0;0;0;0;0;0;14,7;0;0;14,6;13,7;0;0;0;0;0;0;11,4;0;12,6;0;0;14,7;0;13,8;0;0;15,5;0;14,4;0;0;12;0;0;0;0;800402
Anis;0;0;0;0;0;14,5;0;0;0;0;0;0;0;14,6;13,9;12,6;14,6;0;0;0;0;12,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,4;0;0;0;0;0;0;0;0;0;0;0;0;14,8;12,9;0;0;800201
Arnikablüten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,9;0;0;0;0;0;0;0;0;0;0;0;801701
Augentrostkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;9,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,3;10,3;802202
Baldrianwurzel;0;13,2;15,1;16,2;27;0;14,3;12,6;12,6;14,4;13;0;0;0;0;0;14,6;0;0;0;0;12,8;11,9;12,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,4;0;12,6;14,4;0;0;0;0;0;0;0;0;0;0;14,4;12;0;12,9;0;0;802502
Birkenblätter;0;0;0;0;0;0;0;0;0;0;0;0;8,4;0;0;0;0;0;0;7,8;8,1;7,2;0;0;0;0;7,8;8,5;7,8;0;0;0;0;0;0;0;0;0;0;0;0;8,1;0;0;8,4;0;8,5;7,8;0;0;0;0;0;0;0;0;0;0;8,8;8,8;803102
Bitterkleeblätter;0;0;0;0;0;0;0;0;0;0;7,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,6;0;0;0;0;0;0;0;0;0;8,8;8,5;0;0;0;6,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;803202
Bohnenschalen;0;0;0;0;0;0;9,5;0;0;0;0;0;0;0;0;0;0;0;0;0;4,8;0;0;0;9,6;0;0;10;0;0;0;0;9,8;9,1;9,4;0;0;0;0;0;0;9,5;0;0;0;0;10;9,2;0;9,1;0;10,1;0;0;9,6;0;0;0;0;0;803602
Brennnesselblätter;0;0;0;0;0;0;0;0;0;0;8,7;4,7;5;0;0;0;0;0;0;0;0;0;0;0;9,6;0;0;0;0;0;0;0;0;4,6;4,7;0;0;0;0;0;0;4,7;0;4,8;5;0;5;0;0;4,6;5,2;5,1;4,8;0;4,8;4;4,9;8,6;0;0;804002
Brombeerblätter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;7,1;0;0;0;13,3;6,9;0;0;0;804302
Bruchkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,6;10,1;0;0;0;0;0;0;0;0;63202
Buchweizenkraut;0;0;0;0;0;8,2;8,1;14,3;0;8,2;0;7,9;0;0;0;0;0;0;0;7,8;4;7,2;6,7;0;0;7,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;0;0;0;0;804602
